gene_id	colors
cpc54_1073	grey60
cpc54_10730	turquoise
cpc54_10731	yellow
cpc54_10732	lightgreen
cpc54_10733	turquoise
cpc54_10734	pink
cpc54_10736	turquoise
cpc54_10739	cyan
cpc54_1074	turquoise
cpc54_10740	tan
cpc54_10741	greenyellow
cpc54_10742	black
cpc54_10743	yellow
cpc54_10744	magenta
cpc54_10745	midnightblue
cpc54_10746	brown
cpc54_10747	blue
cpc54_10749	turquoise
cpc54_1075	grey
cpc54_10750	darkred
cpc54_10751	salmon
cpc54_10752	cyan
cpc54_10753	red
cpc54_10754	darkorange
cpc54_10755	greenyellow
cpc54_10756	grey60
cpc54_10758	turquoise
cpc54_10759	pink
cpc54_1076	darkmagenta
cpc54_10760	orangered4
cpc54_10761	blue
cpc54_10762	lightyellow
cpc54_10763	yellow
cpc54_10764	grey60
cpc54_10765	grey
cpc54_10768	turquoise
cpc54_10769	midnightblue
cpc54_10770	turquoise
cpc54_10771	red
cpc54_10773	greenyellow
cpc54_10774	turquoise
cpc54_10775	green
cpc54_10777	grey60
cpc54_10778	green
cpc54_10779	blue
cpc54_10780	tan
cpc54_10781	green
cpc54_10782	darkgreen
cpc54_10783	turquoise
cpc54_10785	darkorange
cpc54_10786	grey
cpc54_10787	grey
cpc54_10788	black
cpc54_10790	grey
cpc54_10791	skyblue
cpc54_10792	grey
cpc54_10793	green
cpc54_10795	cyan
cpc54_10796	turquoise
cpc54_10797	grey
cpc54_10798	skyblue
cpc54_10799	grey
cpc54_108	turquoise
cpc54_10800	blue
cpc54_10801	yellow
cpc54_10802	darkturquoise
cpc54_10803	grey
cpc54_10804	yellow
cpc54_10805	turquoise
cpc54_10806	plum1
cpc54_10808	greenyellow
cpc54_10809	darkorange
cpc54_10810	yellow
cpc54_10811	salmon
cpc54_10812	grey
cpc54_10813	lightcyan
cpc54_10814	purple
cpc54_10815	grey
cpc54_10818	turquoise
cpc54_10819	blue
cpc54_1082	turquoise
cpc54_10820	blue
cpc54_10821	grey
cpc54_10824	grey
cpc54_10825	magenta
cpc54_10826	red
cpc54_10827	grey
cpc54_10828	grey
cpc54_1083	black
cpc54_10830	magenta
cpc54_10831	grey
cpc54_10833	green
cpc54_10834	turquoise
cpc54_10835	purple
cpc54_10836	turquoise
cpc54_10837	midnightblue
cpc54_10838	brown
cpc54_10839	grey
cpc54_1084	turquoise
cpc54_10840	turquoise
cpc54_10841	red
cpc54_10842	turquoise
cpc54_10843	grey60
cpc54_10844	brown
cpc54_10845	brown
cpc54_10846	salmon
cpc54_10847	grey
cpc54_10848	brown
cpc54_10849	turquoise
cpc54_1085	darkred
cpc54_10850	salmon
cpc54_10851	black
cpc54_10852	blue
cpc54_10853	white
cpc54_10854	lightyellow
cpc54_10855	blue
cpc54_10856	green
cpc54_10857	greenyellow
cpc54_10858	brown
cpc54_10859	turquoise
cpc54_1086	turquoise
cpc54_10860	yellow
cpc54_10861	grey
cpc54_10862	yellow
cpc54_10863	lightcyan
cpc54_10864	plum2
cpc54_10865	turquoise
cpc54_10866	black
cpc54_10867	lightgreen
cpc54_10868	grey
cpc54_10869	lightcyan
cpc54_1087	sienna3
cpc54_10872	red
cpc54_10873	green
cpc54_10874	yellow
cpc54_10875	tan
cpc54_10876	grey
cpc54_10877	pink
cpc54_10878	grey
cpc54_10879	lightcyan
cpc54_1088	royalblue
cpc54_10880	grey
cpc54_10881	blue
cpc54_10882	yellow
cpc54_10884	turquoise
cpc54_10885	turquoise
cpc54_10886	grey
cpc54_10887	blue
cpc54_10888	red
cpc54_1089	grey
cpc54_10890	grey
cpc54_10891	royalblue
cpc54_10892	orangered4
cpc54_10893	grey
cpc54_10894	pink
cpc54_10896	magenta
cpc54_10897	grey
cpc54_10898	black
cpc54_109	darkorange2
cpc54_1090	blue
cpc54_10901	brown
cpc54_10905	grey
cpc54_1091	black
cpc54_10912	blue
cpc54_10913	yellow
cpc54_10916	grey
cpc54_10917	royalblue
cpc54_10918	grey
cpc54_10919	cyan
cpc54_1092	red
cpc54_10920	salmon4
cpc54_10921	greenyellow
cpc54_10922	greenyellow
cpc54_10923	royalblue
cpc54_10924	turquoise
cpc54_10925	green
cpc54_10928	purple
cpc54_10929	blue
cpc54_1093	grey
cpc54_10930	cyan
cpc54_10931	green
cpc54_10932	red
cpc54_10933	grey
cpc54_10934	red
cpc54_10936	brown
cpc54_10937	yellow
cpc54_10938	royalblue
cpc54_10939	greenyellow
cpc54_1094	grey
cpc54_10940	grey
cpc54_10943	brown
cpc54_10944	green
cpc54_10945	black
cpc54_10946	lightgreen
cpc54_10947	lightgreen
cpc54_10949	grey
cpc54_1095	grey
cpc54_10950	grey60
cpc54_10951	brown
cpc54_10952	blue
cpc54_10955	steelblue
cpc54_10956	mediumpurple3
cpc54_10957	turquoise
cpc54_10959	salmon
cpc54_1096	grey
cpc54_10960	midnightblue
cpc54_10961	grey
cpc54_10963	lightyellow
cpc54_10964	red
cpc54_10965	turquoise
cpc54_10966	blue
cpc54_10967	brown
cpc54_10968	darkorange
cpc54_10969	palevioletred3
cpc54_1097	turquoise
cpc54_10970	grey
cpc54_10971	blue
cpc54_10972	tan
cpc54_10973	brown
cpc54_10974	palevioletred3
cpc54_10975	grey
cpc54_10976	sienna3
cpc54_10977	greenyellow
cpc54_10978	brown
cpc54_10979	blue
cpc54_10980	turquoise
cpc54_10981	brown
cpc54_10982	yellow
cpc54_10984	turquoise
cpc54_10985	red
cpc54_10986	blue
cpc54_10988	red
cpc54_10989	cyan
cpc54_1099	cyan
cpc54_10990	grey
cpc54_10991	salmon
