sequence	cg	chg	gene	classification
cpc54_10114.1	0.006899999999999999	0.00215	cpc54_10114	UM
cpc54_10115.1	0.6655757594167678	0.0046046995445026325	cpc54_10115	gbM
cpc54_10116.1	0.2171130617570225	0.04021964130960674	cpc54_10116	gbM
cpc54_10117.1	0.2892524344509363	0.31447634207840197	cpc54_10117	ambiguous
cpc54_10118.1	0.5959130534617131	0.0034450378397275537	cpc54_10118	gbM
cpc54_10119.1	0.0059448529411764706	0.005188235294117647	cpc54_10119	UM
cpc54_1012.1	0.9163454545	0.1866291667	cpc54_1012	ambiguous
cpc54_10120.1	0.47528248226145353	0.0321406329558834	cpc54_10120	gbM
cpc54_10121.1	0.9012722046759638	0.007649572529625103	cpc54_10121	gbM
cpc54_10122.1	0.6370880512784739	0.00822343512635077	cpc54_10122	gbM
cpc54_10122.2	0.6382149712253513	0.008317302403141184	cpc54_10122	gbM
cpc54_10122.3	0.6446819002752767	0.00809128923578563	cpc54_10122	gbM
cpc54_10122.4	0.6435939251425162	0.008002014523685479	cpc54_10122	gbM
cpc54_10122.5	0.6446819002752767	0.00800312863314252	cpc54_10122	gbM
cpc54_10123.1	0.6696975696207359	0.010605525058899055	cpc54_10123	gbM
cpc54_10124.1	0.337619325	0.016143860870720003	cpc54_10124	gbM
cpc54_10124.2	0.3297930908203125	0.017427598506562503	cpc54_10124	gbM
cpc54_10125.1	0.40370016285573496	0.0018245957383976213	cpc54_10125	gbM
cpc54_10126.1	0	0.03791341991341991	cpc54_10126	UM
cpc54_10127.1	0.8620145067513391	0.0062655848383932665	cpc54_10127	gbM
cpc54_10128.1	0.42102373829069534	0.009273186282054528	cpc54_10128	gbM
cpc54_10129.1	0.37598334054668586	0.004614490396712776	cpc54_10129	gbM
cpc54_1013.1	0.7048865963855422	0.00672707049899256	cpc54_1013	gbM
cpc54_10130.1	0.1791965507589464	0.010854427175149863	cpc54_10130	ambiguous
cpc54_10130.2	0.18590214431464688	0.00959638682021796	cpc54_10130	ambiguous
cpc54_10131.1	0.6489407593123209	0.0020116266256217765	cpc54_10131	gbM
cpc54_10132.1	0.1232423598606173	0.005347677220316873	cpc54_10132	ambiguous
cpc54_10133.1	0.4231221117875286	0.006555046815467794	cpc54_10133	gbM
cpc54_10134.1	0.6116344925184976	0.012611858602677935	cpc54_10134	gbM
cpc54_10135.1	0.9676113360323887	0.929132658537247	cpc54_10135	teM
cpc54_10136.1	0.9020166667	0.82072	cpc54_10136	teM
cpc54_10137.1	0.5418096518716818	0.006173573296325294	cpc54_10137	gbM
cpc54_10138.1	0.01921185161242347	0.00410905612244898	cpc54_10138	UM
cpc54_10139.1	0.128648913	0.01051420118	cpc54_10139	ambiguous
cpc54_1014.1	0.6143951733461022	0.005359989554686746	cpc54_1014	gbM
cpc54_10140.1	0.47908209279079544	0.002501060988802273	cpc54_10140	gbM
cpc54_10141.1	0.2297380952	0.003067272727	cpc54_10141	gbM
cpc54_10142.1	0.1664666667	0.006441304348	cpc54_10142	ambiguous
cpc54_10143.1	0.01601153846	0.006389189189	cpc54_10143	UM
cpc54_10144.1	0	0	cpc54_10144	UM
cpc54_10145.1	0.9784333332999999	0.02065333333	cpc54_10145	gbM
cpc54_10146.1	0.8204644984326019	0.002324555904103448	cpc54_10146	gbM
cpc54_10147.1	0.0013340579709130434	0.003469565217391304	cpc54_10147	UM
cpc54_10148.1	0.7886820876479711	0.008665677609208696	cpc54_10148	gbM
cpc54_10149.1	0.382244122182768	0.05722127641761104	cpc54_10149	ambiguous
cpc54_1015.1	0.3942500898876405	0.005865519101123595	cpc54_1015	gbM
cpc54_10150.1	0.4642649027315894	0.005117830078755299	cpc54_10150	gbM
cpc54_10151.1	0.7516730222808594	0.009829421148702564	cpc54_10151	gbM
cpc54_10152.1	0.3240589743589744	0	cpc54_10152	gbM
cpc54_10153.1	0.6738788468501086	0.007889931035588703	cpc54_10153	gbM
cpc54_10154.1	0.02392866667	0.0035284482759999998	cpc54_10154	UM
cpc54_10155.1	0.6483367688729682	0.0038777817500044165	cpc54_10155	gbM
cpc54_10156.1	0.3967203986960291	0.005551607813490471	cpc54_10156	gbM
cpc54_10157.1	0.004658823529	0.0033750000000000004	cpc54_10157	UM
cpc54_10158.1	0.16911430348258705	0.009171249017412935	cpc54_10158	ambiguous
cpc54_10159.1	0.7633915865384613	0.0066207290212853594	cpc54_10159	gbM
cpc54_10159.2	0.7362035194730249	0.006383143051622009	cpc54_10159	gbM
cpc54_1016.1	0.3916912181080392	0.004879702526718281	cpc54_1016	gbM
cpc54_10160.1	0.19626520595235722	0.001711012903738318	cpc54_10160	ambiguous
cpc54_10161.1	0.11032787958780105	0.0023514834205759162	cpc54_10161	ambiguous
cpc54_10162.1	0.08441316742081448	0.00521326065980724	cpc54_10162	ambiguous
cpc54_10163.1	0.004925946086227062	0.003268138932261275	cpc54_10163	UM
cpc54_10164.1	0.01085434783	0.0038265957449999995	cpc54_10164	UM
cpc54_10165.1	0.00260625	0.002068181818	cpc54_10165	UM
cpc54_10166.1	0.003335	0	cpc54_10166	UM
cpc54_10167.1	0.95901	0.8423444444	cpc54_10167	teM
cpc54_10168.1	0.9333958332999999	0.66414	cpc54_10168	teM
cpc54_10169.1	0.0027791666670000004	0.0037875	cpc54_10169	UM
cpc54_1017.1	0.57872	0.009430434783	cpc54_1017	gbM
cpc54_10170.1	0.07108333333	0.006065	cpc54_10170	ambiguous
cpc54_10171.1	0.4737644773566965	0.009257648152015116	cpc54_10171	gbM
cpc54_10172.1	0.6216722571100859	0.0017565916300574442	cpc54_10172	gbM
cpc54_10172.2	0.6223778715021191	0.0017935755239518211	cpc54_10172	gbM
cpc54_10172.3	0.622621749978413	0.0017942783356775076	cpc54_10172	gbM
cpc54_10173.1	0.13722596964586847	0.004126468053620573	cpc54_10173	ambiguous
cpc54_10174.1	0.45909302647226535	0.00565353495859235	cpc54_10174	gbM
cpc54_10175.1	0.5883037908476176	0.005062512945366085	cpc54_10175	gbM
cpc54_10176.1	0.08614736842	0.001180733945	cpc54_10176	ambiguous
cpc54_10177.1	0.1360405853310296	0.0011231083607115655	cpc54_10177	ambiguous
cpc54_10177.2	0.13656003642208214	0.0011567125934426345	cpc54_10177	ambiguous
cpc54_10178.1	0.016038743049096728	0.0011370317684039827	cpc54_10178	UM
cpc54_10179.1	0.20521188432514847	0.0033270047316433446	cpc54_10179	gbM
cpc54_1018.1	0.7028326506754415	0.005884570716619328	cpc54_1018	gbM
cpc54_1018.2	0.7253780257586449	0.005708164247289344	cpc54_1018	gbM
cpc54_10180.1	0.18186045196741962	0.006758671478225889	cpc54_10180	ambiguous
cpc54_10180.2	0.18075686429825782	0.006947848311038327	cpc54_10180	ambiguous
cpc54_10181.1	0.8087109751442403	0.006240112389691176	cpc54_10181	gbM
cpc54_10182.1	0.012958518518450448	0.0027156531531531535	cpc54_10182	UM
cpc54_10183.1	0.005667857143	0.003315	cpc54_10183	UM
